latency,duration,channel,type
1,NaN,0,boundary
4680,1,0,S  1
6199,1,0,S  2
8984,1,0,S  1
10504,1,0,S  2
13290,1,0,S  1
14809,1,0,S  2
17595,1,0,S  1
19114,1,0,S  2
21900,1,0,S  1
23419,1,0,S  2
26205,1,0,S  1
27724,1,0,S  2
30510,1,0,S  1
32029,1,0,S  2
34815,1,0,S  1
36334,1,0,S  2
39120,1,0,S  1
40640,1,0,S  2
43425,1,0,S  1
44945,1,0,S  2
47730,1,0,S  1
49250,1,0,S  2
52035,1,0,S  1
53555,1,0,S  2
56340,1,0,S  1
57860,1,0,S  2
60646,1,0,S  1
62165,1,0,S  2
64951,1,0,S  1
66470,1,0,S  2
69256,1,0,S  1
70775,1,0,S  2
73561,1,0,S  1
75080,1,0,S  2
77866,1,0,S  1
79385,1,0,S  2
82171,1,0,S  1
83690,1,0,S  2
86476,1,0,S  1
87996,1,0,S  2
90781,1,0,S  1
92301,1,0,S  2
95086,1,0,S  1
96606,1,0,S  2
99391,1,0,S  1
100911,1,0,S  2
103696,1,0,S  1
105216,1,0,S  2
108001,1,0,S  1
109521,1,0,S  2
112307,1,0,S  1
113826,1,0,S  2
116612,1,0,S  1
118131,1,0,S  2
120917,1,0,S  1
122436,1,0,S  2
125222,1,0,S  1
126741,1,0,S  2
129527,1,0,S  1
131046,1,0,S  2
133832,1,0,S  1
135351,1,0,S  2
138137,1,0,S  1
139657,1,0,S  2
142442,1,0,S  1
143962,1,0,S  2
146747,1,0,S  1
148267,1,0,S  2
151052,1,0,S  1
152572,1,0,S  2
155357,1,0,S  1
156877,1,0,S  2
159663,1,0,S  1
161182,1,0,S  2
163968,1,0,S  1
165487,1,0,S  2
168273,1,0,S  1
169792,1,0,S  2
172578,1,0,S  1
174097,1,0,S  2
